"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,12,110,103,93,72,59,51,0
5,6,10,32,32,29,21,18,15,4
4,2,8,38,37,35,25,22,16,2
3,4,8,16,16,17,12,10,8,4
2,2,8,14,14,12,9,8,8,2
5,4,12,21,20,23,19,20,18,3
3,3,14,23,22,23,20,19,17,2
3,3,4,7,10,7,10,7,5,3
1,2,1,1,2,2,1,1,1,0
5,4,14,73,71,68,59,52,49,1
0,1,13,111,105,93,72,59,51,2
6,7,11,34,31,29,21,18,15,3
1,3,9,38,39,38,27,22,19,2
5,2,8,17,16,18,12,9,9,3
1,1,8,13,13,11,9,9,7,1
5,3,13,22,21,22,19,18,17,4
2,5,14,22,24,22,21,18,16,3
3,3,5,9,9,8,7,6,6,2
0,0,1,2,1,2,0,1,3,0
0,3,14,72,71,67,59,53,48,0
1,3,12,112,106,93,73,60,51,0
6,6,9,33,32,31,21,17,15,5
3,3,9,39,37,36,24,20,18,2
2,3,9,17,16,15,10,11,9,2
1,3,5,14,16,13,10,9,9,3
8,4,13,21,22,20,20,18,17,3
2,4,13,23,24,23,21,18,17,4
2,2,6,11,8,10,8,7,7,1
0,0,3,2,2,1,2,3,1,0
1,4,14,71,75,66,59,53,48,1
1,2,10,111,107,95,74,58,52,4
6,5,10,32,31,28,20,17,14,3
2,1,11,37,37,35,24,22,17,0
0,4,6,16,17,15,13,10,8,4
2,3,5,14,14,13,10,8,7,4
5,5,11,22,21,22,19,18,17,5
2,3,12,24,23,23,18,17,17,2
1,0,7,8,9,9,8,8,5,1
0,1,2,2,3,0,4,3,2,1
3,4,12,70,72,67,58,52,49,3
2,0,11,113,105,94,72,58,52,0
5,3,10,32,32,28,21,18,15,4
1,3,10,37,39,35,25,21,17,3
4,3,8,16,15,16,12,10,9,3
2,3,5,15,13,13,9,9,8,1
4,4,13,23,21,21,18,17,17,2
2,2,11,22,24,23,21,19,18,4
1,1,5,9,9,7,8,7,5,2
0,0,2,2,1,2,1,1,1,1
0,1,12,71,72,68,60,53,50,2
0,2,13,111,107,93,73,60,52,2
3,5,10,33,32,29,22,18,15,4
0,3,7,39,37,38,27,22,19,2
5,3,7,17,17,16,10,10,8,3
1,3,6,13,14,13,9,9,7,2
6,3,13,20,22,20,20,19,17,4
4,4,11,22,25,22,21,19,18,4
4,2,5,10,10,10,8,6,6,2
1,0,2,2,2,2,1,1,2,0
3,3,14,70,71,65,58,52,48,2
0,2,11,112,106,94,74,59,51,1
5,5,9,34,31,31,22,17,16,4
3,3,10,39,38,35,24,22,17,1
3,4,9,15,17,16,12,9,7,4
1,4,7,14,12,13,11,9,6,2
5,4,11,22,21,21,19,17,17,3
2,3,12,23,21,23,20,18,18,2
1,2,4,8,9,8,6,7,5,1
0,1,2,0,2,1,0,3,1,0
1,3,14,72,70,66,60,53,48,2
2,2,11,111,104,95,74,58,53,1
5,4,10,33,32,30,22,19,15,3
1,2,9,38,39,36,25,23,19,2
3,4,7,17,15,15,12,10,7,3
3,3,6,14,13,13,10,9,7,1
9,3,14,23,20,21,20,18,19,3
2,2,13,24,24,23,20,18,17,2
1,3,4,7,10,9,7,7,5,2
0,1,2,2,1,1,1,2,1,0
3,1,13,73,73,68,60,52,48,1
2,2,11,113,107,95,74,58,52,0
4,5,11,33,32,28,20,19,16,4
0,2,10,40,38,36,26,22,19,2
4,4,6,17,16,15,11,10,9,1
2,2,7,13,14,15,9,9,8,2
4,4,14,22,22,21,19,18,18,3
0,4,13,22,25,23,20,21,20,4
1,3,5,9,7,9,8,6,6,2
0,0,1,3,1,2,3,1,2,0
1,1,13,72,72,68,60,53,50,1
0,2,12,112,108,95,72,59,52,1
4,5,12,34,33,29,21,18,15,3
2,3,9,39,39,36,26,22,20,0
3,5,9,16,16,16,11,9,10,4
1,2,7,14,15,13,10,9,6,3
5,4,13,21,22,19,18,17,19,4
4,4,14,23,24,24,21,19,17,4
3,2,3,9,7,9,7,8,8,1
0,0,2,1,3,3,1,1,2,0
1,1,16,72,71,68,59,54,48,3
1,1,12,113,107,93,73,60,51,1
6,5,9,33,32,29,22,16,17,2
2,2,10,38,38,37,26,21,18,4
3,2,7,17,17,17,9,11,8,3
2,4,6,14,14,13,10,8,7,0
8,5,12,22,21,21,20,18,17,3
2,3,12,23,23,23,20,19,19,3
1,1,3,7,9,8,6,6,6,3
0,0,2,3,2,0,2,2,0,0
4,4,13,74,71,68,60,52,49,1
1,2,9,112,107,94,74,58,54,0
5,6,11,32,33,30,21,17,15,4
0,2,10,40,39,36,26,22,18,0
4,4,5,18,16,15,11,10,9,2
3,2,7,13,13,13,9,9,8,3
4,5,12,20,21,21,20,17,18,4
2,5,14,22,24,23,20,20,18,5
2,1,4,9,9,9,7,8,6,2
1,1,1,1,0,1,2,0,2,0
2,2,12,72,72,68,60,53,49,1
2,0,13,112,108,95,73,59,51,2
5,6,9,34,31,28,21,18,14,3
1,4,9,40,38,35,26,20,19,0
3,4,8,16,15,15,11,9,9,3
2,4,7,14,14,14,9,9,6,3
4,3,13,21,21,21,19,17,16,5
3,3,14,24,24,23,20,21,17,1
2,1,5,8,7,7,7,7,7,1
0,0,2,2,1,1,2,1,2,2
0,3,15,72,75,69,60,54,47,3
0,0,12,113,109,95,73,60,52,0
4,6,9,35,32,29,22,17,16,3
2,2,9,37,37,36,25,22,17,3
4,2,8,16,16,15,9,10,7,2
1,3,6,14,15,13,10,10,8,2
3,5,12,22,21,21,20,18,17,4
3,5,11,23,23,23,21,19,18,2
3,1,5,8,7,8,7,8,6,2
1,0,3,1,2,2,0,1,0,0
2,4,12,72,74,68,59,54,48,2
2,1,11,114,109,94,76,61,52,0
6,4,12,33,33,30,22,18,15,2
1,3,9,37,39,37,27,22,18,3
1,4,7,18,16,15,11,12,9,2
1,3,7,14,15,13,9,8,9,0
4,5,12,22,21,21,20,18,17,3
3,3,13,23,23,23,21,19,19,3
1,2,5,7,9,10,7,7,5,1
0,0,1,1,2,2,1,2,2,0
1,4,12,73,74,67,60,53,50,1
2,3,12,115,108,95,76,59,52,0
8,4,12,32,32,29,21,18,16,7
1,2,10,37,39,36,27,24,18,3
2,5,5,17,16,15,12,9,9,1
1,2,7,14,13,12,10,8,8,2
5,3,14,21,21,20,19,17,17,4
2,3,13,23,24,23,19,19,17,3
1,2,3,9,9,7,8,7,6,1
0,0,2,2,1,1,1,1,2,0
4,1,14,72,72,68,61,53,48,2
1,1,11,113,108,95,74,60,52,2
6,7,10,34,34,29,22,18,16,3
0,3,10,39,39,37,26,21,17,1
3,3,8,15,15,15,11,10,7,4
3,2,7,13,15,13,8,9,8,2
5,4,11,20,22,21,19,19,19,4
1,3,11,25,24,23,21,19,18,1
1,2,4,9,9,9,7,7,5,1
1,0,2,0,0,2,1,2,0,0
1,2,12,73,72,68,59,54,49,1
2,2,11,114,109,95,75,59,54,1
5,4,12,34,32,31,22,17,16,3
3,1,10,38,38,36,26,23,18,2
3,4,7,15,16,15,10,9,8,3
1,4,7,14,14,13,10,7,8,1
4,5,14,21,21,19,20,17,17,2
4,4,13,25,23,23,21,18,18,3
1,2,6,8,9,10,8,8,5,3
0,0,1,1,2,2,1,2,1,0
1,4,13,73,75,67,61,52,50,1
2,2,11,114,109,95,76,59,51,0
7,4,11,33,32,29,22,18,15,3
3,2,9,38,38,37,25,23,18,4
2,4,7,16,17,17,13,9,10,2
1,2,7,14,14,14,11,10,8,2
4,6,12,22,21,21,21,17,18,3
2,2,14,23,24,24,21,20,17,4
0,2,4,8,9,10,7,8,6,2
0,1,0,3,2,2,3,1,3,0
1,3,14,73,73,68,62,54,49,0
2,1,11,115,109,97,76,61,52,0
5,6,8,33,32,29,21,18,15,5
1,3,10,38,39,35,27,21,19,2
3,2,6,17,16,15,11,11,8,2
4,4,7,16,13,14,11,10,7,3
2,3,12,22,21,21,20,18,17,3
1,4,14,23,24,24,20,19,17,4
0,2,4,9,10,8,9,7,6,1
1,0,1,2,1,2,2,2,2,0
0,3,15,74,73,70,61,54,49,1
0,3,12,112,109,98,75,61,53,3
4,5,8,32,33,31,22,18,16,4
2,2,9,39,38,35,27,22,19,0
3,2,8,17,16,16,11,10,7,2
2,4,7,13,14,14,10,8,7,3
2,5,12,20,21,20,19,17,18,5
2,4,12,23,25,23,23,19,18,2
5,0,4,8,8,8,8,8,7,1
1,0,2,1,1,3,1,1,2,0
4,2,14,73,73,68,60,53,49,1
0,3,10,114,109,97,76,60,53,1
5,6,10,34,32,29,22,18,15,3
3,2,10,38,38,35,24,23,17,1
2,4,8,15,16,15,12,9,8,3
2,2,6,15,15,13,10,9,9,2
3,4,12,21,21,21,19,17,17,3
2,3,12,25,22,23,21,20,17,1
3,2,5,8,8,8,7,7,6,4
0,0,2,1,4,2,2,2,3,2
2,4,12,73,73,69,61,53,50,2
4,1,11,114,108,94,75,61,54,0
5,4,10,34,32,31,20,18,14,2
0,3,9,38,37,36,27,21,18,4
4,4,8,17,17,14,11,8,8,2
2,0,6,14,14,14,8,10,8,1
3,3,13,23,23,21,20,19,18,3
0,3,13,25,23,24,20,21,16,3
0,3,4,8,9,8,8,5,7,2
1,0,1,1,2,1,1,1,2,0
2,3,13,76,76,68,61,55,50,0
1,0,13,114,109,96,74,61,52,1
2,5,10,33,32,31,24,19,15,6
3,4,11,39,40,35,28,22,20,2
3,5,7,17,16,16,10,10,9,2
2,2,7,14,12,14,11,9,7,2
1,4,14,22,22,22,20,19,17,3
2,5,13,24,24,23,21,19,20,6
1,3,4,9,10,8,8,6,7,2
0,0,1,2,1,2,1,2,1,0
0,2,14,72,72,69,60,54,48,3
0,3,13,115,109,96,77,59,51,0
5,6,11,34,34,29,22,18,17,3
4,4,9,39,39,37,25,24,20,2
2,3,8,17,16,15,12,10,7,4
1,3,7,13,15,13,11,9,8,2
3,4,13,22,23,20,21,18,17,3
3,4,13,23,24,22,20,20,18,3
2,2,4,9,7,10,7,8,6,2
0,0,3,1,1,1,1,2,1,0
1,5,14,71,73,67,61,53,48,2
2,4,13,113,108,95,75,60,53,0
5,5,8,35,32,31,21,18,16,3
1,3,12,40,38,35,27,22,17,2
2,3,9,16,16,14,14,10,9,5
2,4,7,14,14,14,9,7,7,3
3,5,12,21,21,20,20,19,19,4
2,3,13,23,23,24,20,21,18,4
1,1,5,9,8,8,8,7,6,2
