"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
13,14,6,3,2,8,12,28,17,22
15,15,1,3,3,5,15,97,31,48
18,17,4,0,2,0,17,125,35,63
16,17,6,0,0,6,18,67,30,54
15,15,4,2,0,6,15,80,36,70
16,15,1,1,2,3,11,84,40,99
15,14,6,2,4,7,14,42,24,46
16,17,8,2,3,6,16,30,19,25
15,14,6,3,1,7,16,32,19,26
17,16,4,1,4,6,15,42,22,29
14,13,7,2,4,6,12,30,17,24
16,15,5,0,0,6,18,96,30,53
16,17,4,0,0,4,21,125,36,62
17,17,1,1,2,4,13,69,34,54
16,14,6,0,4,2,13,80,35,75
15,15,3,0,0,3,16,81,38,103
14,17,3,3,1,6,13,41,27,45
18,17,7,3,4,8,12,29,17,25
13,14,6,5,1,7,19,33,17,27
11,13,6,0,3,6,17,40,21,30
11,12,7,2,2,6,12,26,16,22
16,16,3,5,1,4,14,96,31,50
17,17,4,0,3,4,18,127,35,65
17,14,6,0,0,5,16,66,31,54
15,17,3,2,1,6,16,78,35,72
16,18,4,1,0,5,13,82,39,100
13,15,6,2,2,4,12,42,24,46
17,15,7,2,3,6,14,28,18,25
14,15,4,5,2,6,19,33,19,25
15,17,7,3,5,6,15,43,22,32
14,12,6,1,4,5,13,29,15,24
14,15,5,1,0,4,18,98,32,49
16,20,3,0,0,4,16,125,39,61
18,15,3,0,2,5,15,68,32,57
17,16,5,0,1,3,16,79,34,74
15,15,4,3,0,3,14,81,40,97
12,16,6,2,2,6,13,40,26,47
19,17,6,3,3,6,12,31,17,25
14,14,8,1,2,4,18,33,18,27
13,13,6,2,0,5,17,40,20,31
12,16,5,5,2,8,13,28,16,24
18,15,4,0,1,6,15,97,32,52
16,16,7,0,2,5,16,128,34,64
16,15,5,2,2,6,16,69,33,53
13,18,4,1,0,4,15,78,37,73
16,16,4,0,0,8,13,83,39,100
16,15,7,1,2,5,11,44,24,46
17,16,8,1,4,5,16,31,18,24
14,14,6,5,2,7,18,32,19,25
16,15,5,2,2,11,16,42,21,31
14,13,6,1,3,7,12,30,17,23
14,15,4,0,4,4,16,97,30,49
16,17,4,0,0,4,20,126,37,60
15,17,3,0,1,7,15,69,33,56
17,15,5,0,2,7,12,79,35,75
17,14,5,3,0,3,18,84,39,99
15,15,3,3,0,8,15,42,27,44
18,18,7,3,2,8,14,30,18,24
14,14,5,1,4,8,19,35,19,29
15,13,6,0,5,7,16,42,20,30
12,13,5,6,2,7,13,27,18,22
14,17,1,2,0,8,15,98,34,50
19,19,4,0,1,6,14,126,37,64
19,14,5,1,2,4,16,69,31,54
15,16,2,0,0,4,17,79,38,72
16,18,2,2,0,6,14,82,41,96
14,15,7,2,3,8,13,43,25,46
16,17,7,2,5,6,14,31,18,25
11,14,7,6,2,7,19,33,20,24
14,16,4,4,0,9,18,41,22,29
13,14,5,2,2,7,11,28,16,24
16,17,5,0,1,7,15,96,31,49
16,16,5,0,0,6,20,126,37,64
16,17,2,2,0,4,14,68,33,52
14,17,7,1,0,6,16,78,34,74
18,13,5,0,1,6,14,84,39,102
14,14,5,4,3,5,14,43,27,44
18,17,6,4,3,6,15,30,19,24
14,14,8,3,4,10,16,33,18,27
16,12,7,1,3,7,17,43,20,30
11,12,5,4,3,6,13,28,17,23
15,17,3,0,0,6,15,96,34,50
15,17,8,0,0,10,18,126,35,60
17,16,5,0,3,6,12,71,35,55
16,16,2,1,2,5,15,81,36,75
16,17,4,3,0,7,17,83,40,101
15,14,7,1,0,9,14,43,24,43
17,18,6,6,2,7,14,29,18,24
14,16,8,2,1,9,17,33,19,29
15,14,7,0,4,10,16,42,20,30
12,12,5,5,4,5,13,28,17,25
14,18,3,1,0,5,17,95,32,51
16,18,7,0,0,7,18,127,38,58
17,16,5,0,0,7,13,70,33,55
16,16,2,1,3,9,16,81,35,76
15,17,4,3,1,6,17,81,41,101
15,13,6,0,1,5,15,43,26,45
19,17,5,3,2,6,14,29,16,24
17,13,8,3,1,8,18,33,17,28
15,15,6,1,2,9,16,42,21,30
11,12,4,5,3,8,13,27,18,24
16,18,5,2,0,8,17,98,32,50
17,17,7,0,0,10,17,129,35,63
17,15,5,0,1,5,15,70,32,57
16,17,0,0,1,2,16,81,36,73
15,18,3,3,1,7,15,84,40,98
14,14,4,1,1,9,14,44,24,46
16,16,7,1,3,6,12,32,17,25
11,13,4,4,6,8,18,32,19,25
13,16,5,0,1,10,17,41,21,30
13,12,8,2,1,8,12,29,15,22
17,14,7,0,0,6,16,99,31,53
16,18,4,0,0,5,18,126,38,62
17,17,4,2,0,5,15,68,33,53
15,14,3,1,1,6,13,84,35,73
18,15,5,0,0,7,14,83,38,103
14,17,3,1,1,4,14,42,28,46
16,18,6,3,2,6,13,29,19,25
14,14,8,2,1,10,18,34,17,25
16,14,5,1,2,9,15,44,20,32
11,13,3,1,3,7,11,27,17,23
14,17,4,1,0,5,17,96,36,50
17,16,4,0,0,7,17,128,36,62
18,15,6,1,0,9,15,70,31,55
16,18,3,0,2,5,14,78,39,73
15,16,0,1,2,6,14,82,40,98
13,14,6,2,0,7,12,45,27,45
18,14,8,1,2,7,13,31,18,23
12,14,5,2,4,6,19,32,17,25
15,19,5,4,3,11,16,41,22,34
13,12,6,3,2,6,12,30,17,24
17,15,8,0,0,6,15,98,31,50
17,18,4,0,3,5,15,127,36,63
16,17,2,1,0,6,16,69,31,55
16,15,5,3,0,4,15,79,38,73
19,14,4,0,0,7,12,83,41,100
13,16,3,0,3,6,14,44,25,44
17,17,7,1,4,7,12,31,18,26
12,16,5,2,1,8,16,31,19,26
14,16,7,6,2,9,17,43,23,29
13,11,7,3,3,8,10,30,18,23
16,16,4,0,0,7,16,97,29,49
15,18,4,0,0,6,19,126,39,64
16,15,2,0,1,9,17,69,34,54
17,15,5,1,0,6,13,82,37,72
16,16,5,0,0,7,16,84,39,99
12,16,3,1,4,6,14,42,27,46
18,17,6,3,3,6,15,31,20,26
14,13,7,3,2,9,20,34,19,26
15,15,8,4,1,10,15,44,21,31
12,13,6,1,2,7,13,28,17,24
15,18,2,0,1,5,19,96,31,51
19,16,3,2,1,6,17,128,39,62
17,14,4,0,0,8,15,69,31,53
16,17,5,0,0,5,15,78,33,73
14,16,3,2,0,6,17,84,40,104
16,12,4,1,1,10,11,44,28,45
19,15,9,4,1,6,13,31,15,24
13,15,7,1,4,8,18,33,19,28
13,18,5,0,1,10,19,42,24,32
13,12,6,4,2,7,12,29,18,22
18,13,5,2,0,8,15,99,33,52
17,18,8,0,0,6,16,127,36,63
15,16,3,1,0,5,17,68,33,54
16,14,2,1,1,5,14,80,37,73
19,16,6,0,0,8,13,86,41,98
12,14,5,2,2,6,16,44,26,45
16,17,5,2,2,6,15,29,19,26
14,14,6,4,3,8,17,33,19,26
15,12,9,3,1,10,16,44,20,30
13,13,7,1,2,8,12,27,15,25
13,18,4,2,1,6,19,97,33,51
18,15,1,1,0,5,17,128,38,63
18,15,4,0,0,8,15,71,33,54
14,16,6,0,0,6,16,83,33,73
14,17,5,0,1,4,18,84,40,101
14,15,4,1,1,6,13,45,28,45
17,16,7,3,0,7,13,31,18,24
14,16,8,2,3,9,18,31,18,25
15,16,6,3,5,10,18,43,22,31
13,12,5,3,3,6,11,27,19,23
17,15,5,1,0,8,16,97,33,49
15,16,3,1,0,7,18,128,36,63
17,17,2,0,1,6,15,69,32,57
15,16,3,0,0,5,13,82,38,74
17,12,3,0,0,9,14,87,42,100
15,17,7,0,1,5,17,42,27,47
17,18,8,3,3,7,15,29,17,24
13,13,3,4,2,8,18,32,20,26
15,15,6,2,3,11,13,44,24,29
10,12,8,4,2,8,14,29,16,24
15,18,6,0,2,5,19,98,31,51
18,19,3,1,0,5,19,128,40,66
17,16,2,2,0,11,14,69,34,52
16,15,4,1,0,6,16,82,37,74
13,16,5,0,2,5,16,87,39,104
15,15,4,4,1,8,11,41,27,43
18,17,7,3,2,7,14,30,19,23
12,12,6,3,3,9,18,35,19,25
13,16,7,2,1,9,17,43,19,32
13,15,6,2,3,6,13,28,16,24
16,15,2,2,0,8,16,99,36,49
17,16,4,2,0,9,20,130,39,62
14,17,4,0,1,5,17,70,32,56
15,15,2,1,2,5,15,82,36,75
17,15,3,0,0,9,13,85,40,101
14,12,5,3,0,8,13,44,27,44
17,17,9,3,2,6,13,31,17,26
15,16,7,3,3,7,19,35,19,27
15,13,4,1,3,12,16,43,21,31
14,12,6,3,3,8,12,28,16,24
14,14,6,0,0,6,16,99,35,51
16,17,4,0,1,9,17,128,40,60
18,16,4,0,3,8,17,72,32,55
14,15,4,0,0,6,17,82,36,74
15,15,2,0,0,6,14,89,43,101
14,16,1,0,4,6,14,44,24,44
15,17,7,4,2,6,15,28,18,25
13,15,7,3,5,7,21,32,20,27
15,14,5,3,1,9,19,44,23,30
12,13,5,5,2,7,13,28,17,22
18,16,4,0,0,9,19,97,32,51
17,20,5,0,0,5,17,127,39,63
17,16,1,1,0,6,15,70,33,54
12,14,3,0,2,6,17,84,35,74
15,16,7,0,0,7,15,87,42,104
14,15,4,2,1,9,12,46,30,45
19,16,7,3,1,6,13,30,18,26
14,13,6,2,3,9,16,33,20,26
12,14,5,3,0,11,16,44,22,30
13,12,4,2,2,7,13,28,16,24
16,16,4,0,0,10,17,98,33,52
17,18,4,1,0,6,17,130,38,64
18,15,4,1,0,7,17,70,32,54
16,15,5,0,0,8,15,84,37,76
17,18,3,0,0,5,16,87,39,102
15,14,6,2,2,7,15,45,28,43
17,15,6,4,2,7,14,31,18,24
13,15,5,4,3,8,22,33,17,26
14,15,6,1,3,10,17,43,23,31
13,13,3,4,3,5,13,28,17,23
14,15,4,2,0,7,20,99,35,49
17,16,4,0,0,6,17,129,38,63
17,17,6,1,0,8,15,72,34,54
17,15,2,5,0,6,17,86,40,72
13,16,4,0,1,5,16,91,38,101
14,15,6,3,2,7,15,43,28,47
18,15,6,3,3,6,12,32,17,24
11,14,8,2,3,9,20,33,17,28
13,16,5,1,2,13,17,43,23,32
14,12,5,1,4,8,12,29,19,24
15,14,5,0,1,7,17,98,34,48
17,16,4,0,0,7,19,129,38,64
16,17,4,0,0,6,15,70,33,55
15,17,3,0,0,5,16,83,38,73
14,13,7,0,0,4,15,88,40,101
15,14,4,1,4,9,16,42,26,46
15,18,7,3,2,7,15,31,19,25
12,13,5,3,3,6,19,34,19,26
15,14,6,1,1,8,19,41,23,32
13,13,6,4,4,9,14,27,16,27
16,16,4,4,1,5,16,99,36,51
17,16,3,0,0,8,18,130,41,64
17,15,5,1,0,9,15,71,32,55
15,14,3,3,3,8,17,83,38,77
17,16,5,0,0,6,14,86,41,101
14,15,5,3,0,5,13,45,27,48
18,15,8,4,2,7,15,30,17,24
13,15,8,3,0,9,19,34,18,27
15,16,6,4,0,10,16,43,23,31
12,13,5,2,3,9,13,30,16,23
15,15,7,0,0,7,19,100,31,51
19,16,6,0,0,8,19,130,37,64
16,15,4,1,0,7,16,73,33,53
15,15,5,0,0,3,15,86,35,75
15,14,4,0,0,7,18,89,37,101
13,15,4,3,0,7,13,43,28,45
18,15,7,2,1,5,14,29,17,25
14,15,5,2,2,9,19,33,20,24
14,16,5,3,2,9,16,45,21,32
14,11,6,0,3,7,16,28,17,24
17,14,4,0,0,7,19,99,36,50
15,19,2,0,2,4,17,133,40,62
18,15,5,0,2,7,16,72,33,54
16,15,2,0,1,5,15,84,36,73
16,18,2,0,2,7,16,88,44,101
15,15,4,1,4,7,14,45,28,47
18,16,6,2,2,7,14,32,18,25
13,12,7,2,1,9,21,31,18,27
12,15,5,4,1,11,15,41,24,32
14,14,6,3,2,6,12,30,17,23
14,14,5,1,0,5,17,101,35,53
19,18,3,1,0,10,18,130,40,64
16,15,4,0,0,8,16,71,35,56
16,15,5,0,0,5,15,84,36,78
16,16,4,3,0,8,17,90,40,105
14,14,5,3,2,7,14,42,28,46
