"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
10,4,4,3,7,9,10,6,2,2
6,1,4,1,8,10,9,4,1,3
1,0,0,0,2,2,1,0,0,1
1,2,0,2,2,3,4,1,2,0
7,1,2,2,11,18,22,4,0,1
8,5,4,1,6,10,12,5,1,4
4,3,3,1,3,6,4,2,0,2
4,1,0,1,6,5,5,1,2,2
5,1,2,1,3,7,7,4,2,2
6,0,4,1,3,7,4,5,1,1
7,4,5,2,9,10,11,9,2,3
6,3,2,1,11,8,11,3,2,2
1,1,0,1,3,3,5,0,3,1
5,0,3,2,2,5,5,3,0,0
10,0,3,0,32,20,33,4,0,1
9,5,2,2,16,12,15,4,4,5
3,2,2,2,7,6,8,3,2,2
5,0,3,2,7,5,5,4,2,2
7,2,3,2,9,9,7,4,0,1
3,2,2,1,7,7,6,3,1,2
7,5,4,4,11,12,10,6,4,2
6,2,3,1,11,14,7,4,3,3
3,0,2,0,5,5,0,0,0,1
2,0,0,0,2,0,1,0,0,0
6,2,1,2,40,48,10,4,3,3
10,2,4,2,18,19,9,5,0,3
6,1,4,1,10,10,5,3,2,3
6,3,2,2,6,8,6,1,1,3
7,0,4,3,10,10,5,5,1,0
5,1,2,1,7,9,4,4,1,2
7,4,3,1,11,5,8,8,3,3
6,3,1,2,11,3,11,3,3,3
2,0,1,2,4,1,4,1,1,0
3,0,0,0,0,0,2,3,0,1
10,2,4,1,50,2,18,3,0,2
6,2,2,3,23,2,21,6,2,4
6,2,3,1,9,2,10,3,6,3
5,1,3,1,7,2,6,3,1,1
5,0,3,2,11,3,10,5,1,2
4,3,1,1,9,1,7,2,0,3
8,5,3,3,14,9,12,6,4,5
8,0,3,4,15,7,10,5,2,3
2,0,2,1,3,3,4,2,0,1
5,3,3,1,13,7,9,3,2,3
6,1,1,0,77,11,19,3,1,3
10,1,3,5,24,8,25,5,2,3
7,1,4,3,11,7,11,4,2,2
3,1,3,0,8,4,8,5,1,3
6,3,2,2,12,6,11,2,2,2
6,2,2,3,8,4,7,3,1,2
9,3,4,5,11,12,10,8,4,4
4,1,3,3,12,14,12,4,2,2
2,1,2,0,5,6,8,2,2,2
7,3,3,2,13,12,5,0,0,2
9,0,0,1,64,54,25,3,1,2
9,1,4,2,22,22,32,4,2,4
6,2,1,2,13,13,18,5,2,3
4,1,0,2,8,6,8,2,0,2
6,1,3,2,10,10,10,2,2,2
5,0,2,2,10,10,8,5,1,3
7,4,5,4,8,15,12,8,2,3
6,2,4,1,10,16,15,4,2,4
4,2,4,1,6,8,9,1,1,3
2,1,0,0,0,0,1,0,0,0
6,0,3,2,27,187,47,5,2,4
7,3,5,0,14,38,45,5,0,4
7,2,3,1,9,17,21,4,2,3
6,0,1,3,5,9,8,1,0,2
7,0,4,1,5,13,11,5,1,1
4,3,4,2,6,10,10,4,2,3
6,4,3,3,3,13,16,7,2,3
8,3,3,3,3,14,16,3,2,3
3,0,2,1,1,8,9,3,3,3
1,0,0,0,0,3,1,0,0,0
7,1,3,1,0,113,107,2,2,3
9,2,3,1,2,36,54,4,2,6
9,1,3,3,1,19,18,4,1,4
3,0,4,2,1,8,9,3,2,1
6,2,3,0,1,10,13,3,1,4
6,3,2,2,2,10,9,2,1,2
8,4,2,5,4,13,13,6,3,3
9,0,3,1,2,17,16,5,3,4
3,1,2,0,1,8,8,3,2,3
2,1,0,0,0,0,0,0,0,0
8,1,2,0,1,108,107,2,2,6
9,3,3,3,1,30,27,5,2,3
7,2,3,3,3,16,18,4,2,3
2,1,1,0,2,7,11,3,0,4
8,4,3,3,2,12,10,2,2,4
6,0,4,2,2,11,10,3,3,3
6,3,5,2,2,9,15,8,3,4
6,2,5,1,1,9,14,4,1,5
5,2,2,1,2,3,7,2,1,3
3,0,0,0,0,2,0,0,0,0
8,0,4,1,0,24,117,3,1,4
7,2,4,2,5,14,31,7,3,4
7,3,2,1,4,10,17,3,1,5
5,1,1,2,2,6,7,1,1,2
6,0,2,2,1,8,10,3,3,4
5,1,3,0,3,5,12,3,1,3
8,5,6,2,4,6,16,7,2,3
6,4,3,2,3,5,17,3,2,5
3,2,0,2,1,2,4,0,1,2
0,0,0,0,0,0,0,0,0,0
6,0,4,0,4,1,128,5,0,2
7,1,5,1,4,6,30,5,2,7
7,4,4,1,2,4,14,3,2,4
3,0,3,1,1,4,8,2,1,2
4,1,1,2,3,2,12,3,2,5
6,3,3,0,2,4,10,2,1,3
7,6,3,3,5,4,16,7,5,7
6,3,4,3,2,6,14,4,3,4
1,0,3,0,0,3,5,2,0,1
2,0,0,0,0,0,2,0,0,0
10,2,3,0,4,10,109,3,0,3
12,3,3,3,4,11,26,5,3,3
7,2,3,1,4,6,13,3,1,3
3,2,5,1,5,4,8,2,0,3
5,3,2,2,2,7,11,3,2,3
7,1,1,2,2,6,9,2,1,2
8,4,4,4,3,10,12,5,4,2
6,2,1,2,3,8,11,5,3,4
1,1,3,1,1,3,7,4,0,2
3,0,0,0,0,3,3,1,0,0
8,0,1,1,1,16,48,4,3,4
10,2,6,3,3,8,18,3,2,4
5,3,1,2,3,6,11,3,3,3
4,1,0,1,1,3,8,3,0,3
9,1,3,2,1,5,8,4,1,2
6,0,3,1,2,7,8,4,3,2
8,4,4,2,3,1,10,8,4,4
8,4,3,2,1,2,10,5,2,4
4,0,1,1,0,2,3,1,0,1
2,0,0,0,0,0,0,0,0,0
9,0,4,0,2,0,21,6,0,3
7,2,4,2,1,2,15,6,0,3
6,1,2,1,2,3,8,2,3,2
6,1,3,2,2,2,4,3,2,1
6,1,3,0,3,1,8,4,2,2
5,2,2,2,0,0,6,2,1,2
9,3,2,3,3,2,10,8,2,2
8,2,1,2,1,2,12,4,3,3
2,2,0,1,1,2,3,0,1,0
1,0,1,0,0,0,2,1,0,0
8,3,2,0,2,0,26,2,1,3
10,3,2,2,3,2,25,3,2,2
8,1,2,1,2,3,8,5,3,1
3,0,1,1,2,1,5,4,1,2
6,3,3,2,0,0,10,4,2,4
6,3,3,2,1,2,9,3,2,1
9,4,3,5,3,2,10,7,4,3
5,0,3,4,2,4,8,4,3,2
1,2,2,0,4,1,6,3,1,1
0,0,1,1,1,0,6,4,1,2
9,1,2,3,4,2,30,3,1,2
9,3,3,3,2,4,27,3,2,1
6,1,3,0,3,1,6,3,3,3
5,0,3,1,1,1,6,4,0,1
6,2,2,1,1,1,8,3,2,1
6,1,2,0,2,2,8,2,2,1
8,5,5,3,6,3,9,7,2,3
8,1,3,3,5,3,12,4,2,2
1,0,1,1,0,1,5,0,2,0
6,2,4,1,8,4,9,5,3,2
