max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,control,type,subject
1317,272,687.5092593,658.5,82936.88776,5340,74251,5.411764706,4.629807692,4.870297933,4.853583916,0.015279536,7.876102075,525.9921767,7.754273504,5.015827338,6.461946468,6.443182226,0.474440367,13.85827977,697.8902186,cover,static,bot,rub,A
1181,257,713.5648148,752,95346.97707,4958,77065,5.389312977,4.276767677,4.67174315,4.630420443,0.05011382,10.58866738,504.5482602,7.76519337,5.488888889,6.692057063,6.705490321,0.36569648,14.96959244,722.7421628,cover,static,bot,rub,A
825,196,433.8333333,382.5,22437.50467,9089,46854,4.99086758,3.577572965,4.32817973,4.399455936,0.090926153,21.66954255,467.4434108,7.629385965,4.838124054,6.208745305,6.271306298,0.413316447,28.07617599,670.5444929,cover,static,bot,scratch,A
856,255,488.0740741,472,20608.14399,8382,52712,6.322625698,4.398026316,5.407272559,5.373590178,0.228239512,16.68305186,583.9854364,7.309050773,5.243626062,6.217394799,6.219880673,0.246564751,22.39096542,671.4786382,cover,static,bot,scratch,A
961,289,566.0277778,543,23546.41978,8009,61131,6.500520291,4.517401392,5.487162901,5.555520584,0.136869242,12.36964233,592.6135933,7.326568266,4.8112,5.988531318,6.019280758,0.334137386,23.30093525,646.7613823,cover,static,bot,scratch,A
1263,262,580.6203704,544,49520.705,11221,62707,5.176573427,3.855498721,4.668266935,4.778666749,0.092783131,14.87851072,504.172829,7.709003215,4.782178218,6.016988679,5.898573773,0.447460244,22.95683118,649.8347774,cover,static,bot,scratch,A
593,188,408.5740741,438.5,14556.50848,2601,44126,6.004854369,4.667487685,5.014321365,4.882187127,0.117604123,12.93177397,541.5467074,7.586283186,5.333333333,6.675682863,6.638211941,0.406798185,16.87643435,720.9737492,cover,static,bot,stroke,A
546,179,374.3333333,401,11218.84112,2559,40428,5.974093264,4.716627635,5.163056685,5.089356007,0.073168892,14.05156838,557.610122,7.597430407,5.157509158,6.498137212,6.466324373,0.382417421,18.11260505,701.7988188,cover,static,bot,stroke,A
498,169,328.462963,357.5,7770.493943,2760,35474,5.976331361,4.624685139,5.181800579,5.11032492,0.102282293,15.92462704,559.6344625,7.413366337,5.153846154,6.448746269,6.54271063,0.340923195,19.34516602,696.4645971,cover,static,bot,stroke,A
472,175,343.4444444,370.5,7084.922118,2656,37092,5.841025641,4.739010989,5.189779676,5.124426408,0.075779721,13.79382514,560.4962051,7.387267905,5.379237288,6.570601224,6.657422617,0.303910965,21.46781174,709.6249322,cover,static,bot,stroke,A
1482,257,756.5833333,751.5,87353.32944,8557,81711,7.448173005,5.095394737,6.267106123,6.35292193,0.391162798,14.27832761,676.8474613,7.397546012,5.976031957,6.730884275,6.740594331,0.114091202,12.24651848,726.9355017,cover,static,bot,tickle,A
1428,205,646.0277778,670,75387.78427,9171,69771,7.666666667,3.246498599,5.09057562,4.777835241,1.336884014,20.30549484,549.782167,6.961722488,5.252955083,5.98131755,5.951543756,0.152764196,15.60453966,645.9822954,cover,static,bot,tickle,A
1172,229,656.7685185,614.5,63094.12349,7261,70931,5.680608365,3.229908444,4.191781002,4.206431424,0.306343004,18.50523514,452.7123482,7.216216216,5.426573427,6.472835076,6.426598268,0.161776088,14.57942707,699.0661882,cover,static,bot,tickle,A
759,257,425.0925926,409,9966.776393,5304,45910,5.50877193,4.408026756,4.890816048,4.907922004,0.053249268,15.61368715,528.2081332,6.856060606,5.41509434,6.197970173,6.253521479,0.103854903,15.03135516,669.3807787,cover,static,bot,tickle,A
1249,981,1133.842593,1125.5,2976.750692,2019,122455,4.768774704,4.252267106,4.528669208,4.586559578,0.017250197,4.564540088,489.0962744,6.62031107,6.388408304,6.492125826,6.489154403,0.001785117,4.789561061,701.1495892,none,dynamic,bot,constant,A
1315,1059,1204.083333,1206,2854.712617,2523,130041,4.750401284,4.262815297,4.543971894,4.586832233,0.013928994,4.324752488,490.7489645,6.584489796,6.321575062,6.449022145,6.453030667,0.003475177,4.766313683,696.4943916,none,dynamic,bot,constant,A
1370,1140,1265.212963,1261,2616.860765,2079,136643,4.755613126,4.253003003,4.536231041,4.595959856,0.020520662,4.363686061,489.9129525,6.585873606,6.365853659,6.46626302,6.464581199,0.002133738,4.719763378,698.3564061,none,dynamic,bot,constant,A
1454,1118,1296.685185,1299.5,9402.89062,2011,140042,4.830870279,4.283870968,4.55587659,4.460549425,0.032755723,4.202940467,492.0346717,6.587096774,6.235915493,6.424564813,6.435247548,0.005204784,4.346874365,693.8529998,none,dynamic,bot,constant,A
216,152,189.4537037,190,148.3062478,1377,20461,5.919786096,4.868020305,5.404752426,5.40405338,0.037657052,19.87345501,583.713262,6.540540541,5.48241206,6.052986376,6.071091811,0.047233783,22.11981616,653.7225286,none,dynamic,bot,notouch,A
224,157,187.6759259,186,185.3986674,1299,20269,5.849462366,4.790960452,5.393809285,5.383913901,0.038165633,21.85685725,582.5314027,6.700636943,5.489361702,6.094533472,6.115193816,0.049436604,21.86281769,658.209615,none,dynamic,bot,notouch,A
221,166,197.0740741,196,118.985116,1236,21284,5.768844221,4.902061856,5.363897972,5.3565819,0.031227011,20.25537814,579.300981,6.661538462,5.759433962,6.176269534,6.155857535,0.038850238,21.58565845,667.0371097,none,dynamic,bot,notouch,A
239,172,197.9444444,198.5,175.1370717,1352,21378,5.826086957,4.995098039,5.383376029,5.381452331,0.032251152,18.74996965,581.4046112,6.828571429,5.761363636,6.243861543,6.248272153,0.039243444,17.2908656,674.3370467,none,dynamic,bot,notouch,A
679,163,333.5462963,239,24781.27821,4665,36023,5.886227545,4.757111597,5.263462206,5.237647059,0.083660363,17.52453345,568.4539182,6.611842105,5.579234973,6.137393097,6.166098304,0.049196221,15.25617763,662.8384545,none,dynamic,bot,pat,A
1253,170,323.7037037,235.5,32392.97681,6997,34960,5.848958333,4.292117465,5.103000262,5.121406282,0.120856804,22.07262801,551.1240283,7.326959847,5.889400922,6.416743394,6.382394601,0.076666948,22.55047137,693.0082866,none,dynamic,bot,pat,A
687,142,216.1203704,184,8312.443319,3950,23341,6.063694268,4.697802198,5.368459462,5.39235589,0.066658782,21.76241181,579.7936219,6.929961089,5.387234043,6.116691434,6.064044852,0.092163898,22.59211199,660.6026749,none,dynamic,bot,pat,A
731,146,257.4907407,193.5,14688.02795,5292,27809,5.954022989,4.391891892,5.170394273,5.174050449,0.081977368,19.77064724,558.4025814,6.836477987,5.322072072,6.184681488,6.187390664,0.086749906,23.87653762,667.9456007,none,dynamic,bot,pat,A
1314,388,826.8981481,812.5,53807.41944,7701,89305,5.479935795,4.253869969,4.750180853,4.639417152,0.1154035,8.078478996,513.0195321,7.671309192,3.58828125,5.452204362,5.522587085,1.097820517,14.92555883,588.8380711,none,dynamic,bot,rub,A
1597,266,874.7962963,913.5,71659.93943,7488,94478,5.427055703,4.305363322,4.699743943,4.61326899,0.057855876,8.344273993,507.5723458,7.548918641,3.577547047,5.450127106,5.206182538,1.215195931,12.99113107,588.6137274,none,dynamic,bot,rub,A
1343,422,875.3055556,889.5,37530.73754,6968,94533,5.41943128,3.87688734,4.683474998,4.691386641,0.185900362,7.672865425,505.8152998,7.300902708,3.230826508,5.747830725,6.017207946,1.406809742,14.42980343,620.7657183,none,dynamic,bot,rub,A
1646,294,866.5185185,736.5,160968.1211,7162,93584,5.145094806,3.85178117,4.62890347,4.664952401,0.091839854,10.29492474,499.9215747,7.357836338,4.709606987,6.123935001,6.269308943,0.454823324,10.73573116,661.3849801,none,dynamic,bot,rub,A
1567,291,693.2685185,653,70802.38517,12771,74873,7.121183206,4.535820896,5.530119319,5.299164574,0.432447391,13.26880015,597.2528864,6.64604811,3.998809524,5.394900311,5.395549888,0.382882515,26.44018258,582.6492336,none,dynamic,bot,scratch,A
1736,265,706.3611111,621.5,95300.12072,16596,76287,4.979938272,3.299205649,4.027393264,3.979574117,0.155310892,16.23984542,434.9584725,7.512776831,4.762121212,5.824104403,5.684328983,0.466787333,32.45954168,629.0032755,none,dynamic,bot,scratch,A
1553,314,789.3796296,775.5,53830.46201,15585,85253,6.512758202,3.898190045,4.85296786,4.724717186,0.403412344,11.80740234,524.1205289,6.894636015,5.007058824,6.030741661,6.07284003,0.136314476,20.29665984,651.3200994,none,dynamic,bot,scratch,A
1388,328,750.5648148,711.5,61449.18268,13019,81061,7.02281746,5.343365253,6.204087184,6.218713277,0.264809231,18.98693838,670.0414158,7.334117647,4.512779553,5.841534764,5.841275729,0.293914049,22.23737803,630.8857546,none,dynamic,bot,scratch,A
757,149,407.1018519,453,27631.81196,3830,43967,5.879227053,4.337704918,4.952834395,4.820437028,0.154377015,13.73495351,534.9061147,7.392720307,4.045996593,5.968226387,5.911422365,0.705311442,19.22200317,644.5684497,none,dynamic,bot,stroke,A
704,157,417.75,453,23836.24533,3231,45117,5.761111111,4.550151976,5.033638083,4.875307099,0.116306768,14.68431825,543.632913,7.491341991,5.271948608,6.188700503,5.940452967,0.386149152,18.88629592,668.3796544,none,dynamic,bot,stroke,A
824,147,496.5185185,555.5,36697.5604,3782,53624,5.986394558,4.506382979,5.110300163,5.030292194,0.124884658,13.30405894,551.9124176,7.727095517,4.995744681,6.337053419,6.233753929,0.481086853,15.7083662,684.4017692,none,dynamic,bot,stroke,A
906,162,507.9351852,558.5,43352.28548,4555,54857,6.022099448,4.414847162,5.075616592,5.031225356,0.124780721,14.26721574,548.1665919,7.236135957,4.892908828,6.125194335,6.12969863,0.438775455,17.8988475,661.5209882,none,dynamic,bot,stroke,A
993,227,573.75,554,29984.54439,11173,61965,5.493297587,3.318965517,4.242322575,4.191944603,0.231778772,24.72475616,458.1708381,7.528998243,5.472527473,6.437715529,6.355190744,0.21552873,17.14780466,695.2732771,none,dynamic,bot,tickle,A
1199,323,625.3611111,592,34046.19548,9705,67539,7.489646772,5.142405063,6.068061805,6.251408496,0.358935064,13.14580295,655.3506749,6.740740741,4.487562189,5.923348171,6.048231474,0.270466002,18.10663959,639.7216025,none,dynamic,bot,tickle,A
1138,186,542.4259259,507,42907.77951,7886,58582,6.971947195,4.366666667,5.800411739,6.153447918,0.693283924,18.18309336,626.4444678,6.143589744,4.277777778,5.122737938,5.089608736,0.148180706,21.86115257,553.2556973,none,dynamic,bot,tickle,A
1562,278,708.5833333,645,76812.48832,14638,76527,4.830128205,2.847238543,3.668966185,3.631827731,0.133877452,22.14888805,396.248348,6.474074074,4.108781127,4.912577662,4.787723214,0.297174375,17.47622104,530.5583874,none,dynamic,bot,tickle,A
3010,2382,2698,2562.5,48399.51402,2528,291384,4.660988075,4.225832013,4.442441987,4.363792853,0.021853827,2.217994324,479.7837345,6.389796599,6.195151033,6.318027449,6.325850126,0.001872632,2.537144064,682.3469645,none,static,bot,constant,A
3076,2931,3006.148148,3005.5,771.0058844,2616,324664,4.620505992,4.525928404,4.568270409,4.56684325,0.000386838,2.178753235,493.3732041,6.406004777,6.298331698,6.344887183,6.345392255,0.000430431,2.346625525,685.2478157,none,static,bot,constant,A
3099,2931,3013.435185,3014,742.8088439,2376,325451,4.615709185,4.493095318,4.543254274,4.54160492,0.000434294,1.856770995,490.6714615,6.394868377,6.263226225,6.345948291,6.348850888,0.000582947,2.425644782,685.3624155,none,static,bot,constant,A
3088,2950,3023.361111,3025.5,588.1020249,2347,326523,4.58817734,4.496949153,4.542263747,4.542748633,0.000406015,1.853902532,490.5644847,6.40714995,6.248691099,6.344551422,6.345612817,0.000570591,2.590770658,685.2115536,none,static,bot,constant,A
210,155,184.75,184.5,112.6565421,1214,19953,6.005434783,5.045977011,5.576658399,5.577344899,0.042097194,20.74985661,602.2791071,6.652439024,5.755813953,6.16493285,6.176666667,0.02990945,18.31622578,665.8127479,none,static,bot,notouch,A
